symptom,pref_label,meddra_code,soc
Plasmacytoma,Plasmacytoma,10035484,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Monoclonal immunoglobulin,Monoclonal immunoglobulin,10087954,Investigations
Spinal instability,Spinal instability,10076339,Musculoskeletal and connective tissue disorders
Coronary artery disease,Coronary artery disease,10011078,Cardiac disorders
Arthropathy,Arthropathy,10003285,Musculoskeletal and connective tissue disorders
Influenza B virus test,Influenza B virus test,10071544,Investigations
Bilirubin conjugated,Bilirubin conjugated,10004684,Investigations
Ophthalmological examination,Ophthalmological examination,10050320,Investigations
Blood pressure measurement,Blood pressure measurement,10076581,Investigations
Feeling hot,Feeling hot,10016334,General disorders and administration site conditions
Photophobia,Photophobia,10034960,Eye disorders
Miller Fisher syndrome,Miller Fisher syndrome,10049567,Nervous system disorders
Insomnia,Insomnia,10022437,Nervous system disorders
Pyrexia,Pyrexia,10037660,General disorders and administration site conditions
Cognitive disorder,Cognitive disorder,10057668,Nervous system disorders
Liver injury,Liver injury,10067125,"Injury, poisoning and procedural complications"
Abdominal pain upper,Abdominal pain upper,10000087,Gastrointestinal disorders
Product quality issue,Product quality issue,10069327,Product issues
Jugular vein thrombosis,Jugular vein thrombosis,10023237,Vascular disorders
Polymerase chain reaction positive,Polymerase chain reaction positive,10075628,Investigations
Metabolic function test abnormal,Metabolic function test abnormal,10061286,Investigations
Wheelchair user,Wheelchair user,10047920,Social circumstances
Gait disturbance,Gait disturbance,10017577,General disorders and administration site conditions
Angiotensin converting enzyme,,,API_Error
Myasthenia gravis,,,API_Error
Rash papular,,,API_Error
Thrombocytosis,,,API_Error
Crying,,,API_Error
Spirometry normal,,,API_Error
Ejection fraction decreased,,,API_Error
Computerised tomogram spine,,,API_Error
Hypoalbuminaemia,Hypoalbuminaemia,10020942,Metabolism and nutrition disorders
Arteriotomy,Arteriotomy,10078636,Surgical and medical procedures
Narcolepsy,Narcolepsy,10028713,Nervous system disorders
Full blood count abnormal,Full blood count abnormal,10017412,Investigations
Breast conserving surgery,Breast conserving surgery,10076783,Surgical and medical procedures
Blood test abnormal,Blood test abnormal,10061016,Investigations
Blood immunoglobulin G normal,Blood immunoglobulin G normal,10005597,Investigations
Increased need for sleep,Increased need for sleep,10088915,Nervous system disorders
Skin mass,Skin mass,10067868,Skin and subcutaneous tissue disorders
Spinal fusion surgery,Spinal fusion surgery,10050505,Surgical and medical procedures
Injection site pustule,Injection site pustule,10054994,"Injury, poisoning and procedural complications"
Sensation of foreign body,Sensation of foreign body,10061549,General disorders and administration site conditions
Antinuclear antibody increased,Antinuclear antibody increased,10064726,Investigations
Clostridium test,Clostridium test,10070270,Investigations
Testicular swelling,Testicular swelling,10043354,Reproductive system and breast disorders
Tracheostomy,Tracheostomy,10044320,Surgical and medical procedures
Mood swings,Mood swings,10027951,Psychiatric disorders
Ear pruritus,Ear pruritus,10052138,Ear and labyrinth disorders
Injection site inflammation,Injection site inflammation,10022078,"Injury, poisoning and procedural complications"
Food allergy,Food allergy,10016946,Immune system disorders
Weight bearing difficulty,Weight bearing difficulty,10066454,Musculoskeletal and connective tissue disorders
Cholelithiasis,Cholelithiasis,10008629,Hepatobiliary disorders
Thrombosis,Thrombosis,10043607,Vascular disorders
Intestinal resection,Intestinal resection,10054193,Surgical and medical procedures
Thyroid stimulating immunoglobulin,Thyroid stimulating immunoglobulin,10071388,Investigations
Parathyroidectomy,Parathyroidectomy,10033968,Surgical and medical procedures
Contusion,Contusion,10050584,Skin and subcutaneous tissue disorders
Syphilis test,Syphilis test,10061375,Investigations
Hypersomnia,Hypersomnia,10020765,Nervous system disorders
Dyschromatopsia,Dyschromatopsia,10013892,Eye disorders
Biopsy vagina normal,Biopsy vagina normal,10004902,Investigations
Nasal congestion,Nasal congestion,10028735,"Respiratory, thoracic and mediastinal disorders"
Hepatitis B antibody positive,Hepatitis B antibody positive,10019736,Investigations
Blood testosterone increased,Blood testosterone increased,10005815,Investigations
Blood pressure increased,Blood pressure increased,10005750,Investigations
Flatulence,Flatulence,10016766,Gastrointestinal disorders
Sinus congestion,Sinus congestion,10040742,"Respiratory, thoracic and mediastinal disorders"
Audiogram,Audiogram,10003760,Investigations
Restless legs syndrome,Restless legs syndrome,10058920,Nervous system disorders
Product preparation error,Product preparation error,10076869,"Injury, poisoning and procedural complications"
Skin ulcer,Skin ulcer,10040943,Skin and subcutaneous tissue disorders
Orthostatic intolerance,Orthostatic intolerance,10063927,Vascular disorders
Platelet count increased,Platelet count increased,10051608,Investigations
Papule,Papule,10033733,Skin and subcutaneous tissue disorders
Cardiac failure congestive,Cardiac failure congestive,10007559,Cardiac disorders
Nerve conduction studies abnormal,Nerve conduction studies abnormal,10029175,Investigations
Computerised tomogram abdomen abnormal,Computerised tomogram abdomen abnormal,10057798,Investigations
Haptoglobin,Haptoglobin,10050744,Investigations
Systemic lupus erythematosus,Systemic lupus erythematosus,10042945,Immune system disorders
Dark circles under eyes,Dark circles under eyes,10064729,General disorders and administration site conditions
Skin hypertrophy,Skin hypertrophy,10040867,Skin and subcutaneous tissue disorders
Bacterial infection,Bacterial infection,10060945,Infections and infestations
Headache,Headache,10019211,Nervous system disorders
Hyperhidrosis,Hyperhidrosis,10020642,Skin and subcutaneous tissue disorders
Brain death,Brain death,10049054,General disorders and administration site conditions
Haematological infection,Haematological infection,10069762,Infections and infestations
Laboratory test abnormal,Laboratory test abnormal,10023547,Investigations
Erythema,Erythema,10015150,Skin and subcutaneous tissue disorders
Blood electrolytes,Blood electrolytes,10061013,Investigations
Transient acantholytic dermatosis,Transient acantholytic dermatosis,10051446,Skin and subcutaneous tissue disorders
Malignant neoplasm progression,Malignant neoplasm progression,10051398,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Wheezing,Wheezing,10047924,"Respiratory, thoracic and mediastinal disorders"
Sleep study abnormal,Sleep study abnormal,10053320,Investigations
Ammonia normal,Ammonia normal,10001947,Investigations
Physical examination,Physical examination,10034986,Investigations
Sinusitis,Sinusitis,10040753,"Respiratory, thoracic and mediastinal disorders"
Fluorescence angiogram normal,Fluorescence angiogram normal,10083088,Investigations
Exposure via skin contact,Exposure via skin contact,10071430,"Injury, poisoning and procedural complications"
Hearing aid user,Hearing aid user,10050852,Social circumstances
Anti-zinc transporter 8 antibody positive,Anti-zinc transporter 8 antibody positive,10072530,Investigations
Cerebral atrophy,Cerebral atrophy,10008096,Nervous system disorders
Cartilage injury,Cartilage injury,10007710,Musculoskeletal and connective tissue disorders
Product closure removal difficult,Product closure removal difficult,10069296,Product issues
Dystonia,Dystonia,10013983,Nervous system disorders
X-ray limb abnormal,X-ray limb abnormal,10061586,Investigations
Angiogram cerebral abnormal,Angiogram cerebral abnormal,10052906,Investigations
Tendon rupture,Tendon rupture,10043248,Musculoskeletal and connective tissue disorders
Unresponsive to stimuli,Unresponsive to stimuli,10045555,Nervous system disorders
Cardiac tamponade,Cardiac tamponade,10007610,Cardiac disorders
Decreased interest,Decreased interest,10011971,Psychiatric disorders
Herpes simplex reactivation,Herpes simplex reactivation,10080137,Infections and infestations
Oral mucosal eruption,Oral mucosal eruption,10030997,Gastrointestinal disorders
Pulmonary infarction,Pulmonary infarction,10037410,"Respiratory, thoracic and mediastinal disorders"
Wrong patient,Wrong patient,10084399,"Injury, poisoning and procedural complications"
Renal artery thrombosis,Renal artery thrombosis,10038380,Renal and urinary disorders
Lip blister,Lip blister,10049307,Gastrointestinal disorders
Brain cancer metastatic,Brain cancer metastatic,10055093,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Large intestine infection,Large intestine infection,10081959,Infections and infestations
Soft tissue foreign body,Soft tissue foreign body,10079851,Musculoskeletal and connective tissue disorders
Mean cell volume,Mean cell volume,10026999,Investigations
Migraine,Migraine,10027599,Vascular disorders
Breast mass,Breast mass,10006272,Reproductive system and breast disorders
Coronary arterial stent insertion,Coronary arterial stent insertion,10052086,Surgical and medical procedures
Extra dose administered,Extra dose administered,10064366,"Injury, poisoning and procedural complications"
Blood smear test,Blood smear test,10059655,Investigations
Vitamin D,Vitamin D,10050713,Investigations
Activated partial thromboplastin time normal,Activated partial thromboplastin time normal,10000635,Investigations
Nephropathy toxic,Nephropathy toxic,10029155,"Injury, poisoning and procedural complications"
Musculoskeletal disorder,Musculoskeletal disorder,10048592,Musculoskeletal and connective tissue disorders
Eyelid rash,Eyelid rash,10074620,Eye disorders
Vitamin B12 decreased,Vitamin B12 decreased,10047608,Investigations
Hyporesponsive to stimuli,Hyporesponsive to stimuli,10071552,Nervous system disorders
Bronchospasm,Bronchospasm,10006482,"Respiratory, thoracic and mediastinal disorders"
Electrophoresis protein normal,Electrophoresis protein normal,10014469,Investigations
Nerve compression,Nerve compression,10029174,Nervous system disorders
Musculoskeletal stiffness,Musculoskeletal stiffness,10052904,Musculoskeletal and connective tissue disorders
Speech disorder developmental,Speech disorder developmental,10041467,Nervous system disorders
Ultrasound kidney normal,Ultrasound kidney normal,10045423,Investigations
Stridor,Stridor,10042241,"Respiratory, thoracic and mediastinal disorders"
Weight,Weight,10047890,Investigations
Allergy test,Allergy test,10053462,Investigations
Premature labour,Premature labour,10036600,"Pregnancy, puerperium and perinatal conditions"
Agitation,Agitation,10001497,Nervous system disorders
CSF red blood cell count,CSF red blood cell count,10075561,Investigations
X-ray limb normal,X-ray limb normal,10061587,Investigations
Musculoskeletal discomfort,Musculoskeletal discomfort,10053156,Musculoskeletal and connective tissue disorders
Fall,Fall,10016173,"Injury, poisoning and procedural complications"
Muscle strain,Muscle strain,10050031,Musculoskeletal and connective tissue disorders
Cataract operation,Cataract operation,10063797,Surgical and medical procedures
Electrocardiogram ambulatory,Electrocardiogram ambulatory,10014368,Investigations
Dysphonia,Dysphonia,10013952,Psychiatric disorders
Jaundice,Jaundice,10023126,Skin and subcutaneous tissue disorders
Interleukin level,Interleukin level,10063321,Investigations
Peripheral swelling,Peripheral swelling,10048959,Cardiac disorders
Activated partial thromboplastin time,Activated partial thromboplastin time,10000630,Investigations
Vaccination error,Vaccination error,10063972,"Injury, poisoning and procedural complications"
Red blood cell sedimentation rate abnormal,Red blood cell sedimentation rate abnormal,10049186,Investigations
Blindness unilateral,Blindness unilateral,10005186,Eye disorders
Anosmia,Anosmia,10002653,"Respiratory, thoracic and mediastinal disorders"
Angiocardiogram,Angiocardiogram,10080743,Investigations
Haemoglobin,Haemoglobin,10018876,Investigations
Plethysmography,Plethysmography,10049170,Investigations
Intercepted product selection error,Intercepted product selection error,10076544,"Injury, poisoning and procedural complications"
Encephalitis,Encephalitis,10014581,Infections and infestations
Muscle enzyme increased,Muscle enzyme increased,10057945,Investigations
International normalised ratio,International normalised ratio,10022591,Investigations
Vitreous detachment,Vitreous detachment,10047650,Eye disorders
Aphonia,Aphonia,10002953,Psychiatric disorders
Feeling of despair,Feeling of despair,10016344,Psychiatric disorders
Ovarian failure,Ovarian failure,10033165,Reproductive system and breast disorders
Peripheral arterial occlusive disease,Peripheral arterial occlusive disease,10062585,Vascular disorders
Joint stiffness,Joint stiffness,10023230,Musculoskeletal and connective tissue disorders
Laryngoscopy,Laryngoscopy,10023888,Investigations
Vaccination site nodule,Vaccination site nodule,10069616,Skin and subcutaneous tissue disorders
Mouth injury,Mouth injury,10049294,Gastrointestinal disorders
Cough,Cough,10011224,"Respiratory, thoracic and mediastinal disorders"
Prostatic specific antigen,Prostatic specific antigen,10050704,Investigations
Bladder cancer,Bladder cancer,10005003,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Breath sounds abnormal,Breath sounds abnormal,10064780,Investigations
Vitamin B1,Vitamin B1,10058766,Investigations
Hyperthyroidism,Hyperthyroidism,10020850,Endocrine disorders
Ovarian cancer metastatic,Ovarian cancer metastatic,10057529,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Throat irritation,Throat irritation,10043521,"Respiratory, thoracic and mediastinal disorders"
Angiogram,Angiogram,10061637,Investigations
Paranasal sinus hyposecretion,Paranasal sinus hyposecretion,10080046,"Respiratory, thoracic and mediastinal disorders"
Dyslipidaemia,Dyslipidaemia,10058108,Metabolism and nutrition disorders
Emotional distress,Emotional distress,10049119,Psychiatric disorders
Tight hamstring syndrome,Tight hamstring syndrome,10086324,Nervous system disorders
Blood uric acid normal,Blood uric acid normal,10005862,Investigations
Photosensitivity reaction,Photosensitivity reaction,10034972,Skin and subcutaneous tissue disorders
Pain,Pain,10033371,General disorders and administration site conditions
Gout,Gout,10018627,Metabolism and nutrition disorders
Hepatic cancer recurrent,Hepatic cancer recurrent,10073070,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Tunnel vision,Tunnel vision,10045178,Eye disorders
Underdose,Underdose,10057362,"Injury, poisoning and procedural complications"
Gastrointestinal disorder,Gastrointestinal disorder,10017944,Gastrointestinal disorders
Bone debridement,Bone debridement,10057612,Surgical and medical procedures
H3N2 influenza,H3N2 influenza,10081286,Infections and infestations
Eosinophil count increased,Eosinophil count increased,10014945,Investigations
Bedridden,Bedridden,10048948,Social circumstances
Abnormal faeces,Abnormal faeces,10000133,Gastrointestinal disorders
Eosinophil count decreased,Eosinophil count decreased,10014943,Investigations
Eosinophil percentage increased,Eosinophil percentage increased,10052222,Investigations
Skin injury,Skin injury,10061364,"Injury, poisoning and procedural complications"
Cutaneous vasculitis,Cutaneous vasculitis,10011686,Immune system disorders
Troponin normal,Troponin normal,10071322,Investigations
Pericardial effusion,Pericardial effusion,10034474,Cardiac disorders
Sinus tachycardia,Sinus tachycardia,10040752,Cardiac disorders
Blood creatine phosphokinase decreased,Blood creatine phosphokinase decreased,10067760,Investigations
Pityriasis rosea,Pityriasis rosea,10035114,Skin and subcutaneous tissue disorders
CSF lymphocyte count increased,CSF lymphocyte count increased,10011549,Investigations
Bladder pain,Bladder pain,10005063,Renal and urinary disorders
Haemoglobin increased,Haemoglobin increased,10018888,Investigations
CSF protein,CSF protein,10011572,Investigations
Idiopathic angioedema,Idiopathic angioedema,10073257,Skin and subcutaneous tissue disorders
Cervical spinal stenosis,Cervical spinal stenosis,10008313,Nervous system disorders
C-reactive protein,C-reactive protein,10006824,Investigations
VIIIth nerve injury,VIIIth nerve injury,10047409,Nervous system disorders
Myoglobin urine present,Myoglobin urine present,10028631,Investigations
Throat clearing,Throat clearing,10080125,"Respiratory, thoracic and mediastinal disorders"
Rash pruritic,Rash pruritic,10037884,Skin and subcutaneous tissue disorders
Developmental delay,Developmental delay,10012559,Psychiatric disorders
Coombs test positive,Coombs test positive,10061090,Investigations
Arthropod bite,Arthropod bite,10003399,"Injury, poisoning and procedural complications"
Heart rate irregular,Heart rate irregular,10019304,Investigations
Fear of injection,Fear of injection,10073753,Psychiatric disorders
Electric shock sensation,Electric shock sensation,10014358,General disorders and administration site conditions
Motor dysfunction,Motor dysfunction,10061296,Musculoskeletal and connective tissue disorders
Heavy metal normal,Heavy metal normal,10086047,Investigations
Spider vein,Spider vein,10062696,Vascular disorders
Culture urine,Culture urine,10011638,Investigations
Fever neonatal,Fever neonatal,10016562,"Pregnancy, puerperium and perinatal conditions"
Disturbance in attention,Disturbance in attention,10013496,Nervous system disorders
Cerebral ischaemia,Cerebral ischaemia,10008120,Nervous system disorders
Bundle branch block left,Bundle branch block left,10006580,Cardiac disorders
Cheilitis,Cheilitis,10008417,Gastrointestinal disorders
Aspartate aminotransferase,Aspartate aminotransferase,10003476,Investigations
Deep vein thrombosis,Deep vein thrombosis,10051055,Vascular disorders
Retinal exudates,Retinal exudates,10038862,Metabolism and nutrition disorders
Soft tissue sarcoma,Soft tissue sarcoma,10075333,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Paranasal sinus inflammation,Paranasal sinus inflammation,10083836,"Respiratory, thoracic and mediastinal disorders"
Demyelinating polyneuropathy,Demyelinating polyneuropathy,10061811,Nervous system disorders
Urinary casts,Urinary casts,10046533,Investigations
Muscle tightness,Muscle tightness,10049816,Musculoskeletal and connective tissue disorders
Muscular weakness,Muscular weakness,10028372,Nervous system disorders
Albuminocytological dissociation present,Albuminocytological dissociation present,10091577,Investigations
PIK3CA-activated mutation,PIK3CA-activated mutation,10081234,"Congenital, familial and genetic disorders"
Coagulation factor XII level,Coagulation factor XII level,10009781,Investigations
Eye inflammation,Eye inflammation,10015943,Eye disorders
Staring,Staring,10041953,Psychiatric disorders
Audiogram abnormal,Audiogram abnormal,10003761,Investigations
Nasal inflammation,Nasal inflammation,10028741,"Respiratory, thoracic and mediastinal disorders"
Vomiting projectile,Vomiting projectile,10047708,Gastrointestinal disorders
Hepatomegaly,Hepatomegaly,10019842,Hepatobiliary disorders
Renal cancer,Renal cancer,10038389,Renal and urinary disorders
Vital signs measurement,Vital signs measurement,10072952,Investigations
Product leakage,Product leakage,10076232,Product issues
Blood pressure decreased,Blood pressure decreased,10005734,Investigations
Abdominal pain lower,Abdominal pain lower,10000084,Gastrointestinal disorders
RET gene fusion test,RET gene fusion test,10089319,Investigations
Magnetic resonance imaging head,Magnetic resonance imaging head,10085255,Investigations
Myopathy,Myopathy,10028641,Musculoskeletal and connective tissue disorders
Visual acuity tests normal,Visual acuity tests normal,10047537,Investigations
Scoliosis,Scoliosis,10039722,Musculoskeletal and connective tissue disorders
Eyelid pain,Eyelid pain,10059208,Eye disorders
Unknown schedule of product administration,Unknown schedule of product administration,10086764,"Injury, poisoning and procedural complications"
Magnetic resonance imaging head abnormal,Magnetic resonance imaging head abnormal,10085256,Investigations
Mean cell volume decreased,Mean cell volume decreased,10027002,Investigations
Injection site oedema,Injection site oedema,10022085,"Injury, poisoning and procedural complications"
Sterile pyuria,Sterile pyuria,10042010,Renal and urinary disorders
Teething,Teething,10043183,Gastrointestinal disorders
Microscopy,Microscopy,10069374,Investigations
Pulmonary mass,Pulmonary mass,10056342,"Respiratory, thoracic and mediastinal disorders"
Dilated cardiomyopathy,Dilated cardiomyopathy,10056419,Cardiac disorders
Intraocular pressure test,Intraocular pressure test,10060950,Investigations
Electrocardiogram abnormal,Electrocardiogram abnormal,10014363,Investigations
Heart rate increased,Heart rate increased,10019303,Investigations
Injection site cyst,Injection site cyst,10022055,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Upper-airway cough syndrome,Upper-airway cough syndrome,10070488,"Respiratory, thoracic and mediastinal disorders"
Product administered to patient of inappropriate age,Product administered to patient of inappropriate age,10081578,"Injury, poisoning and procedural complications"
Eyelid oedema,Eyelid oedema,10015993,Immune system disorders
Scar,Scar,10039580,"Injury, poisoning and procedural complications"
Apraxia,Apraxia,10003062,Nervous system disorders
Fat tissue decreased,Fat tissue decreased,10073170,General disorders and administration site conditions
Immune system disorder,Immune system disorder,10021425,Immune system disorders
Nervous system disorder,Nervous system disorder,10029202,Nervous system disorders
Anal rash,Anal rash,10084123,Skin and subcutaneous tissue disorders
Blood alkaline phosphatase increased,Blood alkaline phosphatase increased,10059570,Investigations
Raynaud's phenomenon,Raynaud's phenomenon,10037912,Vascular disorders
Cardiolipin antibody negative,Cardiolipin antibody negative,10007629,Investigations
Terminal state,Terminal state,10048669,General disorders and administration site conditions
Computerised tomogram head normal,Computerised tomogram head normal,10072167,Investigations
Small intestinal intussusception reduction,Small intestinal intussusception reduction,10041099,Surgical and medical procedures
Magnetic resonance imaging heart abnormal,Magnetic resonance imaging heart abnormal,10090464,Investigations
Allergy test negative,Allergy test negative,10056362,Investigations
Arrhythmia,Arrhythmia,10003119,Cardiac disorders
Albumin CSF,Albumin CSF,10059953,Investigations
Androgen receptor assay,Androgen receptor assay,10071594,Investigations
Anti-GAD antibody positive,Anti-GAD antibody positive,10059728,Investigations
Culture,Culture,10061447,Investigations
Rotator cuff syndrome,Rotator cuff syndrome,10039227,Musculoskeletal and connective tissue disorders
HIV test negative,HIV test negative,10020187,Investigations
Mean cell haemoglobin concentration decreased,Mean cell haemoglobin concentration decreased,10026991,Investigations
Chemotherapy,Chemotherapy,10061758,Surgical and medical procedures
Adrenal disorder,Adrenal disorder,10001347,Endocrine disorders
Rhinitis allergic,Rhinitis allergic,10039085,"Respiratory, thoracic and mediastinal disorders"
Dysaesthesia,Dysaesthesia,10013886,Nervous system disorders
Protein total normal,Protein total normal,10037017,Investigations
Bronchiolitis,Bronchiolitis,10006448,Infections and infestations
Barium enema,Barium enema,10004115,Investigations
Angina pectoris,Angina pectoris,10002383,Cardiac disorders
Antiphospholipid antibodies,Antiphospholipid antibodies,10058341,Investigations
Magnetic resonance imaging neck abnormal,Magnetic resonance imaging neck abnormal,10090463,Investigations
Blood fibrinogen,Blood fibrinogen,10005517,Investigations
CSF culture negative,CSF culture negative,10011528,Investigations
Feeling abnormal,Feeling abnormal,10016322,General disorders and administration site conditions
Enanthema,Enanthema,10014579,General disorders and administration site conditions
Supraventricular extrasystoles,Supraventricular extrasystoles,10042602,Cardiac disorders
Blood homocysteine increased,Blood homocysteine increased,10049733,Investigations
Immune thrombocytopenia,Immune thrombocytopenia,10083842,Blood and lymphatic system disorders
Rash maculo-papular,Rash maculo-papular,10037868,Skin and subcutaneous tissue disorders
Biopsy bone marrow normal,Biopsy bone marrow normal,10004739,Investigations
Neuralgia,Neuralgia,10029223,Nervous system disorders
Obstructive sleep apnoea syndrome,Obstructive sleep apnoea syndrome,10029983,"Respiratory, thoracic and mediastinal disorders"
Gastric emptying study,Gastric emptying study,10017782,Investigations
Electromyogram normal,Electromyogram normal,10014432,Investigations
Vaccination site swelling,Vaccination site swelling,10069620,"Injury, poisoning and procedural complications"
Blood phosphorus increased,Blood phosphorus increased,10050196,Investigations
Dysarthria,Dysarthria,10013887,Nervous system disorders
Interleukin-2 receptor increased,Interleukin-2 receptor increased,10066315,Investigations
Ophthalmoplegia,Ophthalmoplegia,10030875,Eye disorders
Injection site movement impairment,Injection site movement impairment,10056250,"Injury, poisoning and procedural complications"
Anti-IA2 antibody positive,Anti-IA2 antibody positive,10072498,Investigations
HLA-B*27 positive,HLA-B*27 positive,10078451,Investigations
Subdural haematoma,Subdural haematoma,10042361,Nervous system disorders
Full blood count normal,Full blood count normal,10017414,Investigations
Neuralgic amyotrophy,Neuralgic amyotrophy,10029229,Immune system disorders
Herpes zoster pharyngitis,Herpes zoster pharyngitis,10074245,Infections and infestations
Ultrasound joint abnormal,Ultrasound joint abnormal,10089008,Investigations
Epstein-Barr virus test positive,Epstein-Barr virus test positive,10064545,Investigations
Smear site unspecified normal,Smear site unspecified normal,10041209,Investigations
Hyperventilation,Hyperventilation,10020910,"Respiratory, thoracic and mediastinal disorders"
Serum ferritin,Serum ferritin,10040246,Investigations
Failure to thrive,Failure to thrive,10016165,Metabolism and nutrition disorders
Troponin,Troponin,10061576,Investigations
Imaging procedure abnormal,Imaging procedure abnormal,10077446,Investigations
Petechiae,Petechiae,10034754,Skin and subcutaneous tissue disorders
Chest pain,Chest pain,10008479,Cardiac disorders
Computerised tomogram head,Computerised tomogram head,10054003,Investigations
White blood cell count normal,White blood cell count normal,10047944,Investigations
Emotional disorder,Emotional disorder,10014551,Psychiatric disorders
Mean cell haemoglobin decreased,Mean cell haemoglobin decreased,10026995,Investigations
Overdose,Overdose,10033295,"Injury, poisoning and procedural complications"
Amenorrhoea,Amenorrhoea,10001928,Endocrine disorders
Polymerase chain reaction negative,Polymerase chain reaction negative,10087036,Investigations
Inability to crawl,Inability to crawl,10050740,Nervous system disorders
Allodynia,Allodynia,10053552,Nervous system disorders
Secretion discharge,Secretion discharge,10053459,General disorders and administration site conditions
Sympathomimetic effect,Sympathomimetic effect,10062119,General disorders and administration site conditions
Bursitis,Bursitis,10006811,Musculoskeletal and connective tissue disorders
Premature separation of placenta,Premature separation of placenta,10036608,Vascular disorders
Malnutrition,Malnutrition,10061273,Metabolism and nutrition disorders
Orbital swelling,Orbital swelling,10085251,Immune system disorders
Hepatitis C antibody negative,Hepatitis C antibody negative,10019746,Investigations
Blood folate normal,Blood folate normal,10005529,Investigations
Scleritis,Scleritis,10039705,Immune system disorders
West Nile virus test negative,West Nile virus test negative,10068813,Investigations
Vaccination site movement impairment,Vaccination site movement impairment,10076183,"Injury, poisoning and procedural complications"
Blood follicle stimulating hormone,Blood follicle stimulating hormone,10005531,Investigations
Vaccination failure,Vaccination failure,10046862,"Injury, poisoning and procedural complications"
Dry mouth,Dry mouth,10013781,Gastrointestinal disorders
Alpha tumour necrosis factor,Alpha tumour necrosis factor,10059981,Investigations
Arteriogram carotid,Arteriogram carotid,10003194,Investigations
Protrusion tongue,Protrusion tongue,10037076,Gastrointestinal disorders
Immunisation reaction,Immunisation reaction,10021432,"Injury, poisoning and procedural complications"
Ear pain,Ear pain,10014020,Ear and labyrinth disorders
Eye pain,Eye pain,10015958,Eye disorders
Psoriasis,Psoriasis,10037153,Immune system disorders
Hypersensitivity,Hypersensitivity,10020751,Immune system disorders
CSF protein increased,CSF protein increased,10011575,Investigations
CSF test,CSF test,10059690,Investigations
Computerised tomogram neck normal,Computerised tomogram neck normal,10090468,Investigations
Angiogram abnormal,Angiogram abnormal,10060956,Investigations
Spinal X-ray,Spinal X-ray,10041604,Investigations
Colon cancer,Colon cancer,10009944,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Breath holding,Breath holding,10006322,"Respiratory, thoracic and mediastinal disorders"
Face injury,Face injury,10050392,"Injury, poisoning and procedural complications"
Nervousness,Nervousness,10029216,Psychiatric disorders
Haemophagocytic lymphohistiocytosis,Haemophagocytic lymphohistiocytosis,10071583,Blood and lymphatic system disorders
Computerised tomogram normal,Computerised tomogram normal,10010236,Investigations
CSF virus identified,CSF virus identified,10061800,Investigations
Eye movement disorder,Eye movement disorder,10061129,Eye disorders
Injection site injury,Injection site injury,10066083,"Injury, poisoning and procedural complications"
Hepatic enzyme increased,Hepatic enzyme increased,10060795,Investigations
Pregnancy test negative,Pregnancy test negative,10036574,Investigations
Colitis,Colitis,10009887,Gastrointestinal disorders
Respiratory pathogen panel,Respiratory pathogen panel,10086457,Investigations
Atrophy,Atrophy,10003694,General disorders and administration site conditions
Hypoaesthesia,Hypoaesthesia,10020937,Nervous system disorders
Joint stabilisation,Joint stabilisation,10060788,Surgical and medical procedures
Thyroidectomy,Thyroidectomy,10062127,Surgical and medical procedures
Eye irritation,Eye irritation,10015946,Eye disorders
Liver function test,Liver function test,10060105,Investigations
Vaccination site bruising,Vaccination site bruising,10069484,"Injury, poisoning and procedural complications"
Meningitis viral,Meningitis viral,10027260,Infections and infestations
Vision blurred,Vision blurred,10047513,Eye disorders
Drug screen negative,Drug screen negative,10050895,Investigations
Haemorrhage,Haemorrhage,10055798,Vascular disorders
Varicella,Varicella,10046980,Skin and subcutaneous tissue disorders
Donor specific antibody present,Donor specific antibody present,10075992,Investigations
Mean platelet volume,Mean platelet volume,10050539,Investigations
Premature baby,Premature baby,10036590,"Pregnancy, puerperium and perinatal conditions"
Cardiomyopathy,Cardiomyopathy,10007636,Cardiac disorders
Blood sodium,Blood sodium,10005799,Investigations
Computerised tomogram head abnormal,Computerised tomogram head abnormal,10072168,Investigations
Weight decreased,Weight decreased,10047895,Investigations
Viral test,Viral test,10062358,Investigations
Onychomadesis,Onychomadesis,10049274,Skin and subcutaneous tissue disorders
Urine ketone body present,Urine ketone body present,10057597,Investigations
Coordination abnormal,Coordination abnormal,10010947,Nervous system disorders
Nasopharyngitis,Nasopharyngitis,10028810,"Respiratory, thoracic and mediastinal disorders"
CD4 lymphocytes,CD4 lymphocytes,10007838,Investigations
Blood immunoglobulin M,Blood immunoglobulin M,10005598,Investigations
Drug reaction with eosinophilia and systemic symptoms,Drug reaction with eosinophilia and systemic symptoms,10073508,Immune system disorders
Magnetic resonance imaging joint,Magnetic resonance imaging joint,10083134,Investigations
Tonic clonic movements,Tonic clonic movements,10051171,Nervous system disorders
Blood pressure abnormal,Blood pressure abnormal,10005728,Investigations
